date,location,lat,lon,temp_max,temp_min,precipitation
2026-03-14,Jepara,-6.5617581009539645,110.76905398727364,27.9,26.9,3.7
2026-03-15,Jepara,-6.5617581009539645,110.76905398727364,28.1,26.8,4.4
2026-03-16,Jepara,-6.5617581009539645,110.76905398727364,27.8,26.9,6.9
2026-03-17,Jepara,-6.5617581009539645,110.76905398727364,28.2,26.5,2.9
2026-03-18,Jepara,-6.5617581009539645,110.76905398727364,28.2,26.6,3.3
2026-03-19,Jepara,-6.5617581009539645,110.76905398727364,28.5,26.9,9.7
2026-03-20,Jepara,-6.5617581009539645,110.76905398727364,28.1,26.5,1.8
2026-03-14,Karanganyar,-7.613330490723947,111.01725342099726,34.2,24.9,6.7
2026-03-15,Karanganyar,-7.613330490723947,111.01725342099726,34.1,25.7,10.6
2026-03-16,Karanganyar,-7.613330490723947,111.01725342099726,33.3,26.3,10.9
2026-03-17,Karanganyar,-7.613330490723947,111.01725342099726,33.8,25.9,3.8
2026-03-18,Karanganyar,-7.613330490723947,111.01725342099726,34.1,25.4,0.0
2026-03-19,Karanganyar,-7.613330490723947,111.01725342099726,33.1,26.0,6.0
2026-03-20,Karanganyar,-7.613330490723947,111.01725342099726,33.2,25.9,0.6
2026-03-14,Kebumen,-7.653116926342026,109.61542122666098,33.5,23.4,1.1
2026-03-15,Kebumen,-7.653116926342026,109.61542122666098,32.6,23.5,9.2
2026-03-16,Kebumen,-7.653116926342026,109.61542122666098,31.7,23.8,14.5
2026-03-17,Kebumen,-7.653116926342026,109.61542122666098,32.0,23.6,0.3
2026-03-18,Kebumen,-7.653116926342026,109.61542122666098,33.3,23.4,0.0
2026-03-19,Kebumen,-7.653116926342026,109.61542122666098,30.9,24.5,6.1
2026-03-20,Kebumen,-7.653116926342026,109.61542122666098,32.0,24.6,1.7
2026-03-14,Kendal,-7.034534830281132,110.15521926540626,29.3,23.6,5.8
2026-03-15,Kendal,-7.034534830281132,110.15521926540626,29.8,23.9,1.0
2026-03-16,Kendal,-7.034534830281132,110.15521926540626,28.7,23.7,2.5
2026-03-17,Kendal,-7.034534830281132,110.15521926540626,29.1,23.6,5.6
2026-03-18,Kendal,-7.034534830281132,110.15521926540626,29.2,23.7,0.2
2026-03-19,Kendal,-7.034534830281132,110.15521926540626,29.8,24.3,3.7
2026-03-20,Kendal,-7.034534830281132,110.15521926540626,29.4,23.7,7.2
2026-03-14,Klaten,-7.687263644682787,110.614884043733,28.0,18.6,6.0
2026-03-15,Klaten,-7.687263644682787,110.614884043733,25.4,19.6,37.3
2026-03-16,Klaten,-7.687263644682787,110.614884043733,24.5,19.9,30.0
2026-03-17,Klaten,-7.687263644682787,110.614884043733,26.0,19.5,3.9
2026-03-18,Klaten,-7.687263644682787,110.614884043733,27.4,18.4,1.2
2026-03-19,Klaten,-7.687263644682787,110.614884043733,25.8,19.8,3.9
2026-03-20,Klaten,-7.687263644682787,110.614884043733,27.1,20.2,2.1
2026-03-14,Kota Magelang,-7.498026499999999,110.22769833333332,29.9,19.6,2.1
2026-03-15,Kota Magelang,-7.498026499999999,110.22769833333332,26.9,20.5,29.0
2026-03-16,Kota Magelang,-7.498026499999999,110.22769833333332,26.6,20.7,20.5
2026-03-17,Kota Magelang,-7.498026499999999,110.22769833333332,26.7,20.5,8.7
2026-03-18,Kota Magelang,-7.498026499999999,110.22769833333332,28.8,18.2,0.0
2026-03-19,Kota Magelang,-7.498026499999999,110.22769833333332,27.0,20.0,6.0
2026-03-20,Kota Magelang,-7.498026499999999,110.22769833333332,27.9,20.3,0.3
2026-03-14,Kota Pekalongan,-6.901533091355721,109.69039386353565,31.0,22.6,1.3
2026-03-15,Kota Pekalongan,-6.901533091355721,109.69039386353565,31.2,24.6,3.1
2026-03-16,Kota Pekalongan,-6.901533091355721,109.69039386353565,30.4,24.6,0.4
2026-03-17,Kota Pekalongan,-6.901533091355721,109.69039386353565,30.9,24.3,4.7
2026-03-18,Kota Pekalongan,-6.901533091355721,109.69039386353565,31.0,24.9,2.8
2026-03-19,Kota Pekalongan,-6.901533091355721,109.69039386353565,31.2,24.0,2.7
2026-03-20,Kota Pekalongan,-6.901533091355721,109.69039386353565,31.1,24.3,11.1
2026-03-14,Kota Semarang,-7.023887528760564,110.385603554268,29.4,25.2,3.0
2026-03-15,Kota Semarang,-7.023887528760564,110.385603554268,29.2,25.8,1.9
2026-03-16,Kota Semarang,-7.023887528760564,110.385603554268,29.0,25.7,3.9
2026-03-17,Kota Semarang,-7.023887528760564,110.385603554268,29.5,25.4,13.2
2026-03-18,Kota Semarang,-7.023887528760564,110.385603554268,29.4,25.2,0.8
2026-03-19,Kota Semarang,-7.023887528760564,110.385603554268,29.8,26.0,11.0
2026-03-20,Kota Semarang,-7.023887528760564,110.385603554268,29.3,25.2,1.9
2026-03-14,Kota Tegal,-6.872040453125937,109.11371991972314,30.8,23.5,1.0
2026-03-15,Kota Tegal,-6.872040453125937,109.11371991972314,31.3,24.8,7.0
2026-03-16,Kota Tegal,-6.872040453125937,109.11371991972314,30.8,24.5,3.7
2026-03-17,Kota Tegal,-6.872040453125937,109.11371991972314,31.2,24.6,3.5
2026-03-18,Kota Tegal,-6.872040453125937,109.11371991972314,32.0,23.5,0.0
2026-03-19,Kota Tegal,-6.872040453125937,109.11371991972314,33.2,23.7,3.3
2026-03-20,Kota Tegal,-6.872040453125937,109.11371991972314,31.0,24.7,7.8
2026-03-14,Kudus,-6.798390285923367,110.86770034662848,31.5,25.7,0.8
2026-03-15,Kudus,-6.798390285923367,110.86770034662848,31.3,26.4,0.9
2026-03-16,Kudus,-6.798390285923367,110.86770034662848,31.1,26.3,4.2
2026-03-17,Kudus,-6.798390285923367,110.86770034662848,32.6,25.9,2.7
2026-03-18,Kudus,-6.798390285923367,110.86770034662848,33.3,26.0,1.8
2026-03-19,Kudus,-6.798390285923367,110.86770034662848,33.1,26.0,5.6
2026-03-20,Kudus,-6.798390285923367,110.86770034662848,32.7,25.8,2.0
2026-03-14,Magelang,-7.502137344297128,110.2477547243433,29.9,19.5,2.1
2026-03-15,Magelang,-7.502137344297128,110.2477547243433,26.8,20.5,29.0
2026-03-16,Magelang,-7.502137344297128,110.2477547243433,26.6,20.6,20.5
2026-03-17,Magelang,-7.502137344297128,110.2477547243433,26.7,20.5,8.7
2026-03-18,Magelang,-7.502137344297128,110.2477547243433,28.7,18.1,0.0
2026-03-19,Magelang,-7.502137344297128,110.2477547243433,27.0,20.0,6.0
2026-03-20,Magelang,-7.502137344297128,110.2477547243433,27.8,20.3,0.3
2026-03-14,Pati,-6.742725575544486,111.040440180638,31.7,23.6,0.0
2026-03-15,Pati,-6.742725575544486,111.040440180638,31.7,24.5,0.0
2026-03-16,Pati,-6.742725575544486,111.040440180638,31.2,24.3,1.0
2026-03-17,Pati,-6.742725575544486,111.040440180638,32.4,23.9,6.7
2026-03-18,Pati,-6.742725575544486,111.040440180638,33.3,24.5,4.5
2026-03-19,Pati,-6.742725575544486,111.040440180638,32.0,24.1,14.7
2026-03-20,Pati,-6.742725575544486,111.040440180638,31.7,23.9,2.1
2026-03-14,Pekalongan,-7.061909222435338,109.63132607401818,29.3,21.7,1.2
2026-03-15,Pekalongan,-7.061909222435338,109.63132607401818,30.0,23.0,3.6
2026-03-16,Pekalongan,-7.061909222435338,109.63132607401818,29.4,22.5,2.5
2026-03-17,Pekalongan,-7.061909222435338,109.63132607401818,30.2,23.3,1.3
2026-03-18,Pekalongan,-7.061909222435338,109.63132607401818,30.7,23.2,0.0
2026-03-19,Pekalongan,-7.061909222435338,109.63132607401818,30.5,22.0,4.5
2026-03-20,Pekalongan,-7.061909222435338,109.63132607401818,30.4,22.9,8.4
2026-03-14,Pemalang,-7.0318283052535,109.39807592415747,30.3,21.6,2.2
2026-03-15,Pemalang,-7.0318283052535,109.39807592415747,30.9,24.1,7.9
2026-03-16,Pemalang,-7.0318283052535,109.39807592415747,30.0,23.6,2.6
2026-03-17,Pemalang,-7.0318283052535,109.39807592415747,31.0,23.3,6.1
2026-03-18,Pemalang,-7.0318283052535,109.39807592415747,31.3,23.0,0.0
2026-03-19,Pemalang,-7.0318283052535,109.39807592415747,31.6,22.7,11.5
2026-03-20,Pemalang,-7.0318283052535,109.39807592415747,30.5,23.7,13.4
2026-03-14,Purbalingga,-7.320612060479874,109.41227830053289,31.0,20.6,8.0
2026-03-15,Purbalingga,-7.320612060479874,109.41227830053289,28.5,22.8,19.1
2026-03-16,Purbalingga,-7.320612060479874,109.41227830053289,27.2,22.4,21.6
2026-03-17,Purbalingga,-7.320612060479874,109.41227830053289,28.1,22.4,8.1
2026-03-18,Purbalingga,-7.320612060479874,109.41227830053289,30.1,20.6,0.0
2026-03-19,Purbalingga,-7.320612060479874,109.41227830053289,28.9,21.5,8.1
2026-03-20,Purbalingga,-7.320612060479874,109.41227830053289,28.2,21.9,7.8
2026-03-14,Purwokerto,-7.430327259070802,109.22994111309181,35.4,22.8,3.4
2026-03-15,Purwokerto,-7.430327259070802,109.22994111309181,33.0,24.8,7.2
2026-03-16,Purwokerto,-7.430327259070802,109.22994111309181,32.1,25.3,9.5
